Term_English;Istilah_Indonesia;Definisi
Installation;Instalasi;Merupakan istilah yang digunakan untuk menggambarkan sebuah daerah yang memiliki suatu paket emisi karbon dioksida, sebagai bagian dari Skema Perdagangan Emisi Uni Eropa.
Insurance/reinsurance;Jaminan;Sebuah bagian dari instrumen keuangan untuk berbagi dan mentransfer risiko di antara bagian beresiko dari rumah tangga, bisnis, dan / atau pemerintah.
Interglacials;Interglacials;Periode hangat glasiasi antara dua zaman es. Interglasial sebelumnya, terukur sekitar 129-116 ribu tahun, adalah disebut sebagai interglasial terakhir (AMS, 2000).
Integrated assessment;Penilaian yang terintegrasi;Metode analisis yang menggabungkan hasil dan model dari fisika, biologi, ekonomi dan ilmu sosial, dan interaksi antara komponenkomponen tersebut dalam kerangka yang konsisten untuk mengevaluasi status dan konsekuensi dari perubahan lingkungan dan respon kebijakan untuk hal itu.
Intelligent controls;Konsep control Cerdas;Dalam buku ini, konsep 'kontrol cerdas' mengacu pada penerapan teknologi informasi dalam bangunan untuk mengontrol pemanas, ventilasi, AC, dan menggunakan secara efektif listrik. Hal ini membutuhkan pemantauan yang efektif parameter seperti suhu, konveksi, kelembaban, dll, dengan pengukuran kontrol yang tepat ('Metering pintar').
Interaction effect;efek dari interasi;Konsekuensi dari interaksi instrumen kebijakan perubahan-iklim yang ada dengan sistem pajak dalam negeri, termasuk biayameningkatkan interaksi pajak dan biaya mengurangi efek pendapatan daur ulang. Yang pertama mencerminkan dampak 84 bahwa kebijakan gas rumah kaca dapat memiliki pasar tenaga kerja dan modal melalui pengaruhnya terhadap nyata upah dan pengembalian riil untuk modal. Membatasi emisi GRK yang diijinkan, meningkatkan harga karbon dan sehingga biaya produksi dan harga output, sehingga mengurangi pengembalian riil untuk tenaga kerja dan modal. Dengan kebijakan yang meningkatkan pendapatan untuk karbon, pemerintah pajak dan izin dilelang, pendapatan dapat didaur ulang untuk mengurangi adanya pajak distortif.
Intergovernmental Organization;IGO;Merupakan organisasi pemerintah. Contohnya termasuk Bank Dunia, Organisasi Kerjasama Ekonomi dan Pembangunan (OECD), International Civil Aviation Organization (ICAO), Panel Antarpemerintah tentang Perubahan Iklim (IPCC), dan organisasi PBB dan regional lainnya. Konvensi Iklim memungkinkan akreditasi IGO ini untuk menghadiri sesi negosiasi.
Intergovernmental Panel on Climate Change;IPCC;Terdiri atas panel ahli yang dibentuk oleh gabungan badan-badan PBB, dan terdiri dari berbagai ilmu yang berhubungan dengan perubahan iklim, dan bertanggung jawab untuk memberi informasi dan basis ilmiah untuk UNFCCC.
Integrated Design Process (IDP) of buildings;Integrated Design Process (IDP) of buildings;Optimalisasi orientasi dan bentuk bangunan dan memberikan kinerja tinggi untuk meminimalkan beban pemanasan dan pendinginan. Teknik pasif untuk kontrol transfer panas ventilasi, dan akses siang hari untuk mengurangi beban energi lebih lanjut. Dengan ukuran dan terkontrol, sistem efisiensi mekanis yang mengatasi beban kiri-atas. IDP membutuhkan proses desain iteratif yang melibatkan semua stakeholder utama dalam membangun pengguna untuk pemasok peralatan, dan dapat mencapai penghematan hingga 30-75% dalam penggunaan energi di gedung-gedung baru dengan sedikit atau tanpa biaya tambahan investasi.
International Energy Agency;IEA;Didirikan pada tahun 1974, lembaga ini terkait dengan OECD. hal 85 ini memungkinkan Negara anggota OECD untuk mengambil langkah-langkah bersama untuk memenuhi pasokan minyak pada keadaan darurat, untuk berbagi informasi energi, untuk mengkoordinasikan kebijakan-kebijakan energi mereka, dan untuk bekerja sama dalam mengembangkan program penggunaan energi yang rasional.
Inter-Tropical Convergence Zone;ITCZ;Zona Konvergensi Inter-Tropis adalah sabuk zonal (barat timur) tekanan rendah khatulistiwa dekat garis khatulistiwa di mana angin pasat timur laut bertemu dengan angin pasat tenggara. Seperti angin berkumpul, udara lembab akan dipaksa mengalir ke atas, sehingga di sebuah sabuk presipitasi lebat (hujan lebat) terjadi. Sabuk ini akan bergerak musiman ke utara dan selatan.
Investasi Tambahan;Investasi Tambahan;Investasi tambahan ditunjukkan jika proyek tidak akan layak untuk dikomersialkan tanpa pendapatan proyek yang menghasilkan dalam hal kredit pengurangan emisi. Sementara pengusulan awal sebagai salah satu kriteria kelayakan proyek, ini tidak lagi suatu yang dibutuhkan.
Indigenous peoples;masyarakat adat;"Tidak ada definisi yang diterima secara internasional tentang masyarakat adat. Karakteristik umum sering diterapkan di bawah internasional hukum, dan oleh badan-badan PBB untuk membedakan masyarakat asli meliputi: tinggal di dalam atau keterikatan pada geografis berbeda habitat tradisional, wilayah leluhur, dan sumber daya alam mereka; pemeliharaan identitas budaya dan sosial, dan sosial, ekonomi, budaya dan politik lembaga terpisah dari masyarakat arus utama atau dominan dan budaya; keturunan dari kelompok masyarakat yang ada di daerah tertentu, paling sering sebelum negara-negara modern atau wilayah diciptakan dan perbatasan saat ini didefinisikan, dan identifikasi diri sebagai bagian dari adat budaya kelompok berbeda, dan keinginan untuk melestarikan budaya yang identitasnya yang khas."
Industrial revolution;Revolusi Indutri;Suatu periode pertumbuhan industri yang pesat dengan dan 86 konsekuensi sosial ekonomi luas, dimulai di Inggris pada paruh kedua dari abad ke-18 dan menyebar ke Eropa dan kemudian ke negara lain termasuk Amerika Serikat. Penemuan mesin uap sangat penting dalam memicu perkembangan ini. Revolusi industri menandai awal dari kenaikan kuat dalam pembakaran fosil fuel dan emisi dari, khususnya, fosil CO2. Dalam buku ini istilah 'pra-industri' dan industri merujuk, kurang lebih, untuk periode sebelum dan sesudah 1750.
Infectious disease;Penbyakit Menular;Setiap penyakit disebabkan oleh agen mikroba yang dapat ditularkan dari satu orang ke orang lain atau dari hewan ke manusia. Hal ini mungkin terjadi melalui kontak fisik langsung, dengan penanganan sebuah benda yang telah mengambil organisme infektif, melalui pembawa penyakit, melalui terkontaminasi air, atau oleh penyebaran tetesan yang terinfeksi batuk atau dihembuskan ke udara.
Infrastructure;Infrastruktur;Peralatan dasar, utilitas, usaha produktif, instalasi dan penting untuk operasi, pengembangan layanan dan pertumbuhan sebuah kota, kota atau bangsa.
Integrated assessment;Penilayan yang terintegrasi;Sebuah proses interdisipliner menggabungkan, menafsirkan dan mengkomunikasikan pengetahuan dari disiplin ilmu yang beragam sehingga semua aspek yang relevan dari masalah sosial yang kompleks dapat dievaluasi dan dipertimbangkan untuk kepentingan pengambilan keputusan.
Integrated water resources management;IWRM;Konsep yang berlaku untuk pengelolaan air yang terintegrasi, bagaimanapun, belum ditetapkan secara pasti. IWRM didasarkan pada empat prinsip-prinsip yang dirumuskan oleh Konferensi Internasional on Water dan Environment di Dublin, 1992: (1) air tawar adalah sumber daya terbatas dan rentan, penting untuk mempertahankan hidup, pembangunan dan lingkungan, (2) pengembangan air dan manajemen harus didasarkan pada pendekatan partisipatif, melibatkan pengguna, perencana dan 87 pembuat kebijakan di semua tingkatan, (3) perempuan memainkan peran sentral dalam penyediaan, pengelolaan dan pengamanan air, (4) air memiliki nilai ekonomi dalam penggunaan seluruh pemakai bersaing dan harus diakui sebagai benda ekonomi.
Installation;Instalasi;"Istilah ""Installation"" digunakan untuk menggambarkan daerah yang memiliki suatu paket emisi karbon dioksida, yang merupakan bagian dari perdagangan emisi eropa."
Invasive species and invasive alien species;IAS;Suatu species agresif yang memperluas jangkauan dan kepadatan penduduk ke dalam wilayah di mana tidak asli, seringkali melalui kompetisi atau hingga akhirnya mendominasi spesies asli.
Irrigation water-use efficiency;Irrigation water-use efficiency;Efisiensi irigasi penggunaan air adalah jumlah biomassa atau panen yang dihasilkan air per satuan irigasi diterapkan, biasanya sekitar 1 ton bahan kering per 100 mm air diterapkan.
Isohyet;Isohyet;Sebuah garis pada peta yang menghubungkan lokasi yang menerima jumlah curah hujan yang sama.
Isostatic or Isostasy;Isostatic or Isostasy;Isostasy mengacu pada cara di mana litosfer dan mantel bumi merespon visko-elastis terhadap perubahan permukaan beban. Ketika pemuatan dan litosfer / atau mantel diubah oleh perubahan dalam daratan es, massa laut, sedimentasi, erosi atau gunung bangunan, dengan penyesuaian vertikal hasil isostatic, untuk menyeimbangkan beban baru. 88
JI Supervisory Committee;JI Supervisory Committee;"Komite Pengawas JI, sebuah badan yang akan dibentuk setelah berlakunya Protokol Kyoto, akan mengawasi badan untuk proyek-proyek JI Jalur kedua. Ini akan memiliki peran yang sama dengan Dewan Eksekutif CDM untuk proyek CDM: validator akreditasi; persetujuan proyek, verifier akreditasi, dan mengawasi isu negara tuan rumah tentang ERU."
Joint attribution;Joint attribution;Melibatkan kedua atribusi dari perubahan yang diamati untuk perubahan iklim regional dan atribusi dari sebagian lain yang terukur baik perubahan iklim regional atau perubahan yang diamati terkait dalam sistem untuk penyebab antropogenik, di luar ketidak konsistenan alam. Proses ini melibatkan statistik yang menghubungkan perubahan iklim simulasi dari model iklim dengan respons yang diamati dalam alam atau sistem yang dikelola. Keyakinan dalam laporan atribusi bersama harus lebih kecil dari keyakinan baik dari masing masing individu atribusi kontributor saja karena kombinasi dua yang terpisah dari penilaian statistik.
Joint Implementation;JI;Sebuah pasar berbasis mekanisme implementasi yang didefinisikan dalam Pasal Protokol Kyoto, yang memungkinkan negara-negara Annex I atau perusahaan dari negara-negara untuk melaksanakan proyek bersama yang membatasi atau mengurangi emisi atau meningkatkan penyerapan, dan untuk berbagi Pengurangan Emisi Unit. JI aktivitas juga diizinkan dalam Pasal 4.(a) dari UNFCCC. Negara-negara industri dapat berkontribusi untuk pengurangan target emisi gas rumah kaca mereka dengan berinvestasi dalam proyek-proyek pengurangan emisi di negara industri lainnya (Annex-I) dan menerima kredit yang disebut Unit Pengurangan Emisi (ERU). Hal ini menguntungkan jika biaya mitigasi lebih rendah daripada untuk aksi nasional. Implementasi Bersama (JI) didefinisikan dalam Pasal 6 dari Protokol Kyoto. 89
Keystone species;Spasies Kunci;Spesies yang memiliki peran sentral mempengaruhi organisme pelayanan lainnya dan mempengaruhi kematian yang kemungkinan akan mengakibatkan hilangnya jumlah spesies dan menyebabkan perubahan besar dalam fungsi ekosistem.
Kyoto Mechanisms;also called Flexibility Mechanisms;Mekanisme ekonomi pasar berdasarkan prinsip bahwa pihak dalam Protokol Kyoto dapat menggunakan upaya untuk mengurangi potensi ekonomi dalam dampak persyaratan pengurangan emisi gas rumah kaca. Mereka termasuk Implementasi Bersama (Pasal 6), Mekanisme Pembangunan Bersih (Clean Development Mechanism CDM) (Pasal 12), dan Emisi perdagangan (Emission trading) (Pasal 17).
Kyoto Protocol;Kyoto Protocol;Protokol Kyoto untuk Konvensi Kerangka kerja PBB tentang Perubahan Iklim (UNFCCC) telah diadopsi pada tahun 1997 di Kyoto, Jepang, pada Sidang Ketiga Konferensi Para Pihak (COP) dari UNFCCC. Protokol ini berisi traktat atau komitmen yang mengikat secara hukum, selain yang termasuk dalam UNFCCC. Negara yang termasuk dalam Annex B dari Protokol (Organisasi negara Kerjasama Ekonomi dan Pembangunan dan negara dengan ekonomi dalam transisi) sepakat untuk mengurangi emisi gas rumah kaca antropogenik mereka (karbon dioksida, metana, asam nitrat, hidrofluorokarbon, perfluorokarbon, dan heksafluorida belerang) dengan minimal 5% di bawah tingkat tahun 1990 dalam periode komitmen 2008 sampai 2012. Protokol Kyoto mulai berlaku pada tanggal Februari 2005.
Kyoto Signatory;Kyoto Signatory;Negara Signatory merupakan negara yang menandatangani protocol Kyoto dan memiliki komitmen yang tinggi dalam pengurangan emisi. 91
Kyoto surprise;Kyoto surprise;"Istilah ini digunakan untuk menggambarkan proyek CDM di Estrada Oyuela, R. 1998. Pendekatan pertama dan pertanyaan yang tidak terjawab"" dalam Isu dan Pilihan: Mekanisme Pembangunan Bersih, ed. J. Goldemberg, UNDP, New York, hal 23. 92"
Landfill;TPA;TPA adalah situs pembuangan limbah padat di mana limbah diendapkan bawah, pada atau di atas permukaan tanah. Terbatas ke situs direkayasa dengan penutup bahan, penempatan terkontrol limbah dan pengelolaan cairan dan gas. Ini tidak termasuk pembuangan limbah yang tidak terkontrol.
Land-use;Penggunaan Lahan;Jumlah pengaturan, kegiatan dan input yang dilakukan dalam tertentu tanah penutup jenis (serangkaian tindakan manusia). Sosial dan tujuan ekonomi yang tanah dikelola (misalnya, merumput, kayu ekstraksi, dan konservasi). Perubahan penggunaan lahan terjadi ketika, misalnya, hutan dikonversi menjadi lahan pertanian atau perkotaan.
Land use and Land use change;Penggunaan Lahan atau Perubahan penggunaan lahan;Penggunaan lahan (land use) mengacu pada total pengaturan, kegiatan dan input yang dilakukan di tanah penutup jenis tertentu (serangkaian tindakan manusia). Istilah penggunaan lahan ini juga digunakan dalam arti tujuan sosial dan ekonomi yang mana tanah adalah sesuatu yang dikelola (misalnya, rumput, kayu ekstraksi dan konservasi). Penggunaan perubahan tanah (Land use change) mengacu pada perubahan dalam penggunaan atau pengelolaan lahan oleh manusia, yang dapat menyebabkan perubahan tutupan lahan. tutupan lahan dan perubahan penggunaan lahan dapat berdampak pada albedo permukaan, evapotranspirasi, sumber dan rosot dari gas rumah kaca, atau lainnya sifat dari sistem iklim dan dengan demikian mungkin memiliki dorongan radiasi dan / atau dampak lain terhadap iklim, secara lokal atau global. Lihat juga Laporan Lahan, Perubahan Tata Guna Lahan-Gunakan, dan Kehutanan IPCC (IPCC Report on Land, Land Use Change and Forestry) (IPCC, 2000).
Landslide;tanah longsor;"Sejumlah material yang telah longsor menurun oleh gravitasi, 93 sering dibantu oleh air padahal bahan yang jenuh; gerakan cepat dari massa tanah, batu atau puing-puing ke bawah lereng."
Large-scale singularities;Large-scale singularities;Perubahan secara tiba-tiba dan dramatis dalam keadaan kondisi tertentu, dalam menanggapi perubahan bertahap dalam daya dorong. Sebagai contoh, sebuah bertahap peningkatan konsentrasi gas rumah kaca di atmosfer dapat menyebabkan skala besar singularitas tersebut sebagai perlambatan atau penghilangan sirkulasi termohalin atau runtuhnya Lapisan es barat Antartika. Terjadinya, besarnya, dan besar waktu skala singularitas sulit diprediksi.
Leaching;Leaching;Penghapusan elemen tanah atau bahan kimia yang diterapkan oleh gerakan air melalui tanah.
Leaf area index;LAI;Rasio antara luas permukaan daun total tanaman dan luas tanah tertutup oleh daun-daunnya.
Leakage;Kebocoran;Kebocoran adalah efek tidak langsung dari kebijakan pengurangan emisi atau kegiatan yang mengarah pada peningkatan emisi di tempat lain (substitusi bahan bakar fosil misalnya mengarah ke penurunan harga BBM dan peningkatan penggunaan bahan bakar lain). Untuk perubahan penggunaan lahan dan kegiatan kehutanan, kebocoran dapat didefinisikan sebagai kerugian tak terduga dari pengurangan emisi karbon yangdiharapkan. Untuk CDM / JI proyek, kebocoran dapat dihasil dari keadaan yang tidak terduga, Dasar proyek yang tidak benar didefinisikan, ketidak layakan akan menentukan periode proyek atau batas proyek, dan desain proyek yang tidak pantas.
Learning by doing;Belajar dengan melakukan;Sebagai peneliti dan perusahaan yang memperoleh keuntungan dengan memproses teknologi baru, atau memperoleh pengalaman melalui produksi yang diperluas mereka dapat menemukan cara untuk memperbaiki proses dan mengurangi 94 biaya. Belajar dengan praktek langsung adalah jenis berbasis pengalaman perubahan teknologi.
Leapfrogging;Leapfrogging;Kemampuan negara-negara berkembang untuk memotong teknologi bersih menengah dan langsung lompat ke teknologi bersih canggih. Lompatan dapat memungkinkan negara berkembang untuk pindah ke jalur pembangunan rendah emisi.
Land surface air temperature (Temperatur permukaan udara;Land surface air temperature (Temperatur permukaan udara;Suhu udara di permukaan sebagaimana diukur dalam layar berventilasi atas tanah sebesar 1,5 m di atas tanah.
Lapse rate;Lapse rate;Laju perubahan dari variabel atmosfer, biasanya suhu, dengan ketinggian dari muka laut. Laju perubahan dianggap positif bila variabel berkurang dengan ketinggian.
Last Glacial Maximum;LGM;Maksimum Es Terakhir mengacu pada waktu lapisan es maksimal selama periode glaciation terakhir, atau sekitar 21 ribu tahun yang lampau. Periode ini telah banyak dipelajari karena radiasi pendorong dan kondisi batas relatif telah banyak diketahui dan karena pendinginan global selama periode tersebut sebanding dengan pemanasan diproyeksikan selama abad ke-21.
Latent heat flux;Flux Panas Laten;"Fluks atau aliran panas dari permukaan bumi ke atmosfir yang berhubungan dengan penguapan atau kondensasi uap air di permukaan; merupakan komponen dari neraca energi permukaan."
Legal Entity Trading;Legal Entity Trading;Negara-negara dapat memberikan wewenang perusahaan untuk mengambil bagian dalam perdagangan emisi internasional, jika perdagangan akan mematuhi aturan internasional. Ada ketentuan bahwa perdagangan tidak mungkin terjadi jika negara kuasa gagal memenuhi syarat kelayakan. 95
Legume;Legume;Tanaman yang memperbaiki nitrogen dari udara melalui hubungan simbiotik dengan bakteri di dalam tanah dan sistem akar (misalnya, kedelai, kacang polong, kacang-kacangan, lucerne, cengkeh).
Letter of Credit;Letter of Credit;Ini adalah kewajiban untuk membayar oleh pihak ketiga, sebagai jaminan dana yang dikonfirmasi. Sebuah Letter of Credit dapat digunakan untuk meningkatkan kelayakan kredit dari suatu entitas dengan tanpa peringkat kredit atau dengan peringkat kredit yang rendah.
Levelized cost price;Levelized cost price;Harga yang unik dari output dari sebuah proyek yang membuat ini nilai dari pendapatan (keuntungan) sama dengan nilai sekarang dari biaya selama masa proyek.
Level of Scientific Understanding;LOSU;Ini adalah indeks pada skala 5-langkah (tinggi, sedang, menengah-rendah, rendah dan sangat rendah) dirancang untuk menggambarkan tingkat pemahaman ilmiah dari agen dorongan radiasi yang mempengaruhi perubahan iklim. Untuk setiap agen, indeks merupakan penilaian subjektif tentang bukti mekanisme fisik / kimia yang menentukan daya dorong dan konsensus seputar perkiraan kuantitatif dan ketidakpastiannya.
Liability;Batas kemampuan;Terdapat batas jumlah maksimum dalam perdagangan emisi international, dimana setiap transfer tidak diperkenankan menurunkan komitmen penurunan karbon suatu Negara di bawah 90% dari semestinya,atau lima kali dari inventory terakhirnya, ditentukan dari keduanya berdasarkan nilai mana yang lebih rendah.
Lifetime;waktu hidup;Lifetime adalah istilah umum yang digunakan untuk karakterisasi berbagai skala waktu pada tingkat proses yang mempengaruhi konsentrasi gas penjejak atau GRK. Daya tahan hidup dapat 96 dibedakan sebagai berikut: Waktu perputaran (turnover time T) (juga disebut umur hidup global atmosfer) adalah rasio M massa reservoir (misalnya, suatu senyawa gas dalam atmosfer) dan tingkat total S yang penyerapan atau penghilangan dari reservoir: T = M / S. Untuk setiap proses penghilangan, perhitungan turnover terpisah dapat didefinisikan. Dalam biologi karbon tanah, hal ini disebut sebagai Mean Time Residence (waktu tinggal rerata). Waktu Penyesuaian (adjustment time) atau waktu respon (response time) (Ta) adalah skala waktu karakteristik peluruhan input aliran gas seketika ke dalam reservoir. Istilah Waktu penyesuaian ini juga digunakan untuk mengkarakterisasi penyesuaian dari massa reservoir mengikuti langkah perubahan dalam kekuatan sumber aliran. Waktu paruh (half-life) atau konstanta peluruhan digunakan untuk mengukur orde pertama proses peluruhan eksponensial. Lihat waktu respon untuk definisi yang berbeda berkaitan dengan variasi iklim. Istilah masa hidup kadang-kadang digunakan sebagai pengganti istilah waktu penyesuaian. Dalam kasus sederhana, di mana penghapusan global senyawa ini berbanding lurus dengan massa total reservoir, penyesuaian waktu sama dengan waktu pergantian: T = Ta. Contohnya adalah CFC-11, yang akan dihapus dari atmosfer hanya oleh proses fotokimia di stratosfir. Dalam kasus yang lebih rumit, dimana beberapa reservoir terlibat atau di mana proses penghilangan tersebut tidak sebanding dengan total massa, persamaan T = Ta tidak lagi berlaku. karbon dioksida (CO2) adalah contoh ekstrim. Waktu perputarannya hanya sekitar empat tahun karena pertukaran cepat antara atmosfer dan laut dan biota terestrial. Namun, sebagian besar CO2 yang kembali ke atmosfer adalah dalam beberapa tahun. Dengan demikian, waktu penyesuaian CO2 di atmosfer sebenarnya ditentukan oleh tingkat penghilangan karbon dari lapisan permukaan lautan ke lapisan laut yang lebih dalam. Meskipun nilai perkiraan dari 100 tahun mungkin diberikan untuk waktu penyesuaian CO2 di atmosfer, yang sebenarnya penyesuaian lebih cepat pada awalnya dan lebih lambat di kemudian hari. Dalam kasus metana (Ch4), waktu penyesuaian berbeda dari waktu perputaran karena laju penghilangan terutama melalui reaksi kimia dengan radikal 97 hidroksil OH, konsentrasi yang dengan sendirinya tergantung pada konsentrasi CH4. Oleh karena itu, CH4 laju penghilangan S sebenarnya tidak sebanding dengan massa total M.
Likelihood;Likelihood;"Kemungkinan hasil kejadian, hasil atau luaran, dimana hal ini dapat diperkirakan probalistik, dinyatakan dalam laporan IPCC menggunakan terminologi: Tertentu, atau kisaran dari, kejadian / hasil suatu yang tidak pasti acara memiliki sebuah probabilitas dikatakan > 99% Hampir pasti terjadi > 90% Sangat mungkin terjadi, > 66% < 90% Kemungkinan terjadi > 33-66% mungkin atau tidak mungkin terjadi < 33% Tidak mungkin terjadi <10% Sangat tidak mungkin terjadi <% 1 hampir pasti tidak terjadi Lihat juga Ketidakpastian; Keyakinan."
Limnology;Limnology;Studi tentang sungai, danau dan kawasan air tawar di daratan beserta biota mereka.
Linking Directive;Linking Directive;"The ""direksi penghubung"" adalah nama yang diberikan kepada direksi Uni Eropa yang memungkinkan perusahaan untuk menggunakan kredit CDM dan JI karbon untuk memenuhi target mereka di bawah Skema Perdagangan Emisi Uni Eropa. Secara formal, direksi penghubung bukanlah direksi dengan keputusannya sendiri, namun amandemen direksi ETS Uni Eropa."
Littoral zone;Littoral zone;"Sebuah wilayah pesisir; zona antara tanda air yang tinggi dan rendah."
Lithosphere;Lithosphere;Lapisan atas dari kulit permukaan bumi yang padat, kedua benua dan kelautan berada pada lapisan ini, yang terdiri dari semua batuan kerak dan dingin, terutama elastis pada bagian dari mantel 98 paling atas. Aktivitas gunung berapi, meskipun berada bagian litosfer, tidak dianggap sebagai bagian dari sistem iklim, tapi bertindak sebagai faktor dorongan eksternal. Lihat isostatic.
Little Ice Age;LIA;Interval antara sekitar AD 1400 dan 1900 saat suhu di belahan bumi utara adalah umumnya lebih dingin dari kondisi saat ini, terutama di Eropa.
Lock-in effect;Lock-in effect;Teknologi yang mencakup pangsa pasar besar terus digunakan karena faktor-faktor seperti biaya investasi hilang, infrastruktur terkait pengembangan, penggunaan teknologi yang saling melengkapi dan terkait sosial dan kebiasaan struktur kelembagaan dan.
Low-carbon technology;teknologi rendah karbon;Sebuah teknologi yang siklus hidupnya lebih menyebabkan berkurangnya jumlah konsentrasi dan emisi CO2 eq. daripada melakukan berbagai pilihan teknologi lainnya. 99 101
Malaria;Malaria;"Endemik atau wabah penyakit yang disebabkan oleh parasit spesies dari genus Plasmodium (Protozoa) dan ditularkan oleh nyamuk dari yang Anopheles genus; menghasilkan serangan demam tinggi dan sistemik gangguan, mempengaruhi sekitar 300 juta dan membunuh sekitar 2 juta orang di seluruh dunia setiap tahun."
Macroeconomic costs;Biaya makroekonomi;Biaya tersebut biasanya diukur sebagai perubahan dalam Domestik Bruto Produk atau perubahan dalam pertumbuhan Produk Domestik Bruto, atau sebagai kompensasi hilangnya kesejahteraan atau konsumsi.
Marginal Abatement Costs;Marginal Abatement Costs;Merupakan biaya investasi yang diperlukan untuk membawa penghematan emisi gas rumah kaca. Secara keseluruhan, biaya peredaan marjinal akan jauh lebih rendah di negara-negara berkembang dibandingkan di negara maju, karena negara mereka kurang teknologi canggih.
Marginal cost pricing;Marginal cost pricing;Penentuan harga barang dan jasa sehingga harganya sama dengan biaya tambahan yang timbul ketika produksi diperluas oleh satu unit. Teori ekonomi menunjukkan bahwa cara memaksimalkan harga kesejahteraan sosial dalam ekonomi adalah cara terbaik pertama.
Market barriers;Hambatan pasar;Dalam konteks mitigasi perubahan iklim, hambatan pasar adalah kondisi yang mencegah atau menghambat difusi efektif biaya teknologi atau praktek yang akan mengurangi emisi GRK.
Market-based regulation;Pasar menurut regulasi;Peraturan pendekatan menggunakan mekanisme harga (misalnya, pajak dan izin lelang yang dapat diperdagangkan), di antara instrumen lainnya, untuk mengurangi emisi GRK.
Market distortions and imperfections;distorsi dan kesempurnaan pasar;Dalam prakteknya, pasar akan selalu menunjukkan distorsi dan ketidaksempurnaan seperti kurangnya informasi, sinyal harga terdistorsi, kurangnya kompetisi, dan/atau kegagalan kelembagaan yang berkaitan dengan peraturan, tidak memadai delineasi hak milik, distorsi-merangsang fiskal sistem, dan pasar keuangan yang terbatas
Market equilibrium;Market equilibrium;"Titik di mana permintaan barang dan jasa sama dengan pasokan; sering dijelaskan dalam hal tingkat harga, ditentukan dalam kompetitif pasar, 'kliring' pasar."
Market Exchange Rate;MER;Ini adalah tingkat di mana mata uang asing dipertukarkan. Paling ekonomis adalah memposting tarif tersebut setiap hari dan mereka akan bervariasi sedikit di seluruh bursa. Untuk beberapa suku bunga resmi negara berkembang dan pasar gelap tarif mungkin berbeda secara signifikan dan MER sulit untuk mencapai nilai bawah.
Market impacts;Dampak Pasar;Dampak yang dapat dikuantifikasi dalam hal moneter, dan langsung mempengaruhi Produk Domestik Bruto misalnya, perubahan dalam harga input pertanian dan / atau barang.
Market potential;Potensi Pasar;Potensi Pasar menunjukkan jumlah mitigasi gas rumah kaca yang mungkin diharapkan terjadi dalam kondisi pasar perkiraan termasuk kebijakan dan tindakan di tempat pada saat itu .. Hal ini didasarkan biaya unit swasta dan diskon tarif, seperti yang muncul dalam tahun dasar dan saat mereka dapat saja berubah bila tidak ada setiap tambahan kebijakan dan tindakan.
Mass balance;of glaciers, ice caps or ice sheets;"Keseimbangan antara aliran input massa ke badan es (secara akumulasi) dan massa kehilangan dari badan es (ablasi, calving gunung es). Permasalahan massa keseimbangan termasuk hal berikut: Massa jenis keseimbangan: massa rugi bersih atau 102 kelebihan selama siklus hidrologi pada suatu titik di permukaan gletser. Massa total timbangan (gletser): sisa massa jenis spasial terintegrasi atas wilayah seluruh gletser; total penambahan massa gletser atau kehilangan selama siklus hidrologi. Keseimbangan berarti massa jenis: sisa total massa per satuan luas dari gletser. Jika permukaan yang ditentukan (permukaan neraca massa tertentu, dll) maka kontribusi aliran es tidak dianggap, jika tidak, massa keseimbangan termasuk juga kontribusi dari aliran es dan calving gunung es. Sisa permukaan spesifik massa adalah positif dalam daerah akumulasi dan negatif di daerah ablasi."
Material efficiency options;Material efficiency options;Disini diartikan sebagai pilihan untuk mengurangi emisi gas rumah kaca dengan mengurangi volume bahan yang dibutuhkan untuk suatu produk atau jasa tertentu
Max 1-Day Precipitation Amount;Max 1-Day Precipitation Amount;Curah hujan maksimum bulanan dalam 1 hari.
Max 5-Day Precipitation Amount;Max 5-Day Precipitation Amount;Curah hujan maksimum bulanan dalam 5 hari berturut-turut.
Max Tmax;Max Tmax;Nilai maksimum bulanan dari suhu maksimum harian.
Max Tmin;Max Tmin;Nilai maksimum bulanan dari suhu minimum harian.
Maximum Crediting Time;Maximum Crediting Time;Waktu kredit maksimum adalah periode maksimum di mana kredit dapat diberikan untuk proyek tertentu.
Measures;tindakan;Adalah merupakan aktivitas atau tindakan teknologi, proses, dan praktik yang mengurangi Emisi GRK atau efek tingkat bawah (publik umumnya) untuk antisipasi masa depan. Contoh tindakan adalah teknologi energi terbarukan, minimisasi proses sampah dan praktik transportasi umum Komuter, dll. 103
Meeting of the Parties;MOP;MOP mengacu pada Pertemuan dari Para anggota mengenai Protokol, yang merupakan konferensi tahunan antara negaranegara yang merupakan anggota dalam Protokol Kyoto.
Medieval Warm Period;MWP;Interval antara tahun 1000 dan 1300 pada beberapa daerah yang belahan bumi utara yang lebih hangat daripada selama perioda Little Ice Age yang setelahnya.
Meeting of the Parties (to the Kyoto Protocol);MOP;Konferensi Para Pihak (Conference of Parties COP) UNFCCC berfungsi sebagai Pertemuan utama Para Pihak (Meeting of Parties MOP), badan tertinggi konvensi Kyoto Protokol, dan bertemu setahun sekali. Hanya pihak pada Protokol Kyoto dapat berpartisipasi dalam pembahasan dan membuat keputusan.
